InvoiceID,Date,Store,Product,Category,Quantity,UnitPrice,PaymentMethod,Total,Hour,Cluster,PCA1,PCA2
INV100029,2023-01-02 05:00:00,Branch B,Burger,Food,4,5.55,Mobile Money,22.2,5,0,-1.143376634900446,-0.25979487095607184
INV100030,2023-01-02 06:00:00,Branch A,Chicken,Food,10,7.62,Cash,76.2,6,1,1.3478978271519595,-1.2023142734382084
INV100031,2023-01-02 07:00:00,Branch A,Chicken,Food,9,13.01,Cash,117.09,7,1,2.66732010040657,0.1035582211240298
INV100032,2023-01-02 08:00:00,Branch D,Soda,Food,5,12.73,Cash,63.65,8,1,0.7811751446361985,0.9547730586565163
INV100033,2023-01-02 09:00:00,Branch C,Juice,Food,6,12.89,Mobile Money,77.34,9,1,1.2705757192331908,0.7600397360933522
INV100034,2023-01-02 10:00:00,Branch B,Pasta,Food,8,10.42,Mobile Money,83.36,10,1,1.4656376334536392,-0.18856797116366136
INV100035,2023-01-02 11:00:00,Branch A,Wrap,Food,9,9.54,Cash,85.86,11,1,1.596204594697226,-0.5914247524111332
INV100036,2023-01-02 12:00:00,Branch B,Salad,Food,2,12.56,Mobile Money,25.12,12,0,-0.5965011231321548,1.6010842235865252
INV100037,2023-01-02 13:00:00,Branch D,Fries,Food,3,6.39,Cash,19.17,13,0,-1.2898029341270072,0.13506647837385047
INV100038,2023-01-02 14:00:00,Branch A,Pizza,Food,1,7.22,Card,7.22,14,0,-1.808671083092618,0.7543837876357479
INV100039,2023-01-02 15:00:00,Branch C,Soda,Food,1,8.85,Cash,8.85,15,0,-1.5749298695207572,1.0820650916054497
INV100040,2023-01-02 16:00:00,Branch C,Pizza,Food,7,8.66,Cash,60.62,16,1,0.592881480301277,-0.3147882497273732
INV100041,2023-01-02 17:00:00,Branch C,Pizza,Food,5,11.68,Cash,58.4,17,1,0.5438340173868025,0.7440828135919805
INV100042,2023-01-02 18:00:00,Branch A,Salad,Food,5,12.04,Mobile Money,60.2,18,1,0.6252081181580239,0.8163194690426783
INV100043,2023-01-02 19:00:00,Branch A,Fries,Food,7,10.64,Cash,74.48,19,1,1.1222522893103926,0.08214299766112731
INV100044,2023-01-02 20:00:00,Branch B,Burger,Food,8,8.26,Card,66.08,20,1,0.8435167937523871,-0.6213818641745682
INV100045,2023-01-02 21:00:00,Branch A,Fries,Food,6,2.59,Cash,15.54,21,2,-1.2704248215454925,-1.3057679354681613
INV100046,2023-01-02 22:00:00,Branch B,Burger,Food,8,8.07,Card,64.56,22,2,0.7887932013712585,-0.6594534566153423
INV100047,2023-01-02 23:00:00,Branch D,Pasta,Food,5,4.8,Mobile Money,24.0,23,2,-1.0113154640187632,-0.6364399350213581
INV100048,2023-01-03 00:00:00,Branch A,Fries,Food,8,14.84,Cash,118.72,0,1,2.7386812035830532,0.6970974950901386
INV100049,2023-01-03 01:00:00,Branch A,Hotdog,Food,10,8.57,Mobile Money,85.7,1,1,1.6607696234156974,-1.0121340080579846
INV100050,2023-01-03 02:00:00,Branch B,Juice,Food,9,13.03,Mobile Money,117.27,2,1,2.6734936768083526,0.10756388667754639
INV100051,2023-01-03 03:00:00,Branch A,Juice,Food,5,9.2,Mobile Money,46.0,3,0,-0.01674312125938978,0.2464525204871723
INV100052,2023-01-03 04:00:00,Branch C,Salad,Food,2,4.9,Mobile Money,9.8,4,0,-1.8531963596039536,0.06189952517698377
INV100053,2023-01-03 05:00:00,Branch B,Fries,Food,3,11.44,Mobile Money,34.32,5,0,-0.35697025112432146,1.1493308273507916
INV100054,2023-01-03 06:00:00,Branch C,Burger,Food,4,14.16,Cash,56.64,6,1,0.6249387591639709,1.4686703857581747
INV100055,2023-01-03 07:00:00,Branch C,Fries,Food,5,13.15,Card,65.75,7,1,0.8761115955359569,1.0390491566823306
INV100056,2023-01-03 08:00:00,Branch D,Chicken,Food,6,11.49,Mobile Money,68.94,8,1,0.9251970049525929,0.47925034384227255
INV100057,2023-01-03 09:00:00,Branch B,Wrap,Food,10,11.69,Card,116.9,9,1,2.688306470092395,-0.387541978598723
INV100058,2023-01-03 10:00:00,Branch A,Fries,Food,4,10.23,Mobile Money,40.92,10,0,-0.18220171687240042,0.6797193452370377
INV100059,2023-01-03 11:00:00,Branch C,Salad,Food,3,2.84,Cash,8.52,11,0,-1.9455566023764201,-0.5779312322931082
INV100060,2023-01-03 12:00:00,Branch C,Soda,Food,2,14.17,Cash,28.34,12,0,-0.33236544027058873,1.9245943233827865
INV100061,2023-01-03 13:00:00,Branch B,Wrap,Food,5,12.61,Card,63.05,13,1,0.7540504443791245,0.9306941735062834
INV100062,2023-01-03 14:00:00,Branch B,Wrap,Food,2,14.51,Card,29.02,14,0,-0.2765852339519973,1.9929132264453506
INV100063,2023-01-03 15:00:00,Branch B,Chicken,Food,1,12.91,Mobile Money,12.91,15,0,-0.9927278283540368,1.8982528794072844
INV100064,2023-01-03 16:00:00,Branch C,Soda,Food,3,12.24,Mobile Money,36.72,16,0,-0.20919477658924246,1.3100063677827827
INV100065,2023-01-03 17:00:00,Branch B,Salad,Food,4,9.51,Card,38.04,17,0,-0.33007478118440753,0.535178696591944
INV100066,2023-01-03 18:00:00,Branch A,Wrap,Food,4,6.86,Cash,27.44,18,0,-0.8743298095549886,0.0031888092176404997
INV100067,2023-01-03 19:00:00,Branch C,Juice,Food,10,8.55,Cash,85.5,19,1,1.6541828487575134,-1.0161378031186208
INV100068,2023-01-03 20:00:00,Branch C,Pasta,Food,1,4.38,Card,4.38,20,0,-2.2159257128742644,0.18345439912411993
INV100069,2023-01-03 21:00:00,Branch C,Pizza,Food,1,12.23,Card,12.23,21,0,-1.0902395002735858,1.7615514765242184
INV100070,2023-01-03 22:00:00,Branch C,Chicken,Food,10,9.33,Cash,93.3,22,1,1.911067060426688,-0.8599897957538053
INV100071,2023-01-03 23:00:00,Branch D,Fries,Food,8,3.09,Cash,24.72,23,2,-0.6455409568288505,-1.6573299321682664
INV100072,2023-01-04 00:00:00,Branch C,Chicken,Food,9,3.22,Card,28.98,0,2,-0.3546455482661897,-1.8572150673224384
INV100073,2023-01-04 01:00:00,Branch B,Hotdog,Food,4,12.57,Cash,50.28,1,0,0.2983857421416222,1.1494764533335924
INV100074,2023-01-04 02:00:00,Branch C,Salad,Food,3,13.82,Cash,41.46,2,0,0.08266178561753844,1.6273405601359643
INV100075,2023-01-04 03:00:00,Branch B,Pasta,Food,1,5.12,Card,5.12,3,0,-2.1098100699029905,0.33221769049686795
INV100076,2023-01-04 04:00:00,Branch C,Pasta,Food,10,2.7,Cash,27.0,4,2,-0.2724487387612946,-2.1872478583547355
INV100077,2023-01-04 05:00:00,Branch B,Salad,Food,1,5.42,Cash,5.42,5,0,-2.066790214644366,0.39252713294527947
INV100078,2023-01-04 06:00:00,Branch C,Pasta,Food,6,2.83,Cash,16.98,6,2,-1.211217041954533,-1.257632611082262
INV100079,2023-01-04 07:00:00,Branch C,Pasta,Food,10,10.23,Card,102.3,7,1,2.207471920044966,-0.6798190180251721
INV100080,2023-01-04 08:00:00,Branch A,Soda,Food,5,13.04,Cash,65.2,8,1,0.8512472869669725,1.016976845294617
INV100081,2023-01-04 09:00:00,Branch A,Burger,Food,1,14.43,Cash,14.43,9,0,-0.7747605617103386,2.2038207211459024
INV100082,2023-01-04 10:00:00,Branch A,Fries,Food,1,7.64,Card,7.64,10,0,-1.7484432857305434,0.8388170070635239
INV100083,2023-01-04 11:00:00,Branch B,Fries,Food,1,11.12,Mobile Money,11.12,11,0,-1.2494129647304975,1.538406539465096
INV100084,2023-01-04 12:00:00,Branch B,Wrap,Food,5,6.29,Card,31.45,12,2,-0.6745171024934298,-0.3374604444059693
INV100085,2023-01-04 13:00:00,Branch D,Chicken,Food,6,6.42,Mobile Money,38.52,13,2,-0.32556733890642875,-0.537608383809851
INV100086,2023-01-04 14:00:00,Branch D,Burger,Food,7,14.3,Mobile Money,100.1,14,1,2.100786208993909,0.8158643943489615
INV100087,2023-01-04 15:00:00,Branch D,Wrap,Food,9,3.76,Card,33.84,15,2,-0.18795898541804965,-1.749062097377485
INV100088,2023-01-04 16:00:00,Branch D,Burger,Food,2,7.23,Mobile Money,14.46,16,0,-1.4709378868912524,0.5300849491057347
INV100089,2023-01-04 17:00:00,Branch C,Pizza,Food,3,5.45,Mobile Money,16.35,17,0,-1.463439116705725,-0.05372728163373849
INV100090,2023-01-04 18:00:00,Branch A,Pasta,Food,8,3.92,Cash,31.36,18,2,-0.40648526379549904,-1.491017186242779
INV100091,2023-01-04 19:00:00,Branch C,Fries,Food,4,12.74,Card,50.96,19,0,0.33330021565973506,1.1836041064859062
INV100092,2023-01-04 20:00:00,Branch C,Juice,Food,2,5.37,Mobile Money,10.74,20,0,-1.776088427340018,0.15634036176346996
INV100093,2023-01-04 21:00:00,Branch C,Juice,Food,2,8.22,Cash,16.44,21,0,-1.3085190508459414,0.7290135197879078
INV100094,2023-01-04 22:00:00,Branch D,Pasta,Food,1,14.07,Mobile Money,14.07,22,0,-0.826384388020688,2.1314493902078087
INV100095,2023-01-04 23:00:00,Branch D,Fries,Food,2,7.48,Card,14.96,23,0,-1.4299230293040526,0.580319436651738
INV100096,2023-01-05 00:00:00,Branch B,Burger,Food,4,7.36,Card,29.44,0,0,-0.7716401815605394,0.10356425966562227
INV100097,2023-01-05 01:00:00,Branch B,Salad,Food,5,2.71,Card,13.55,1,2,-1.4837373268294654,-1.05581385138791
INV100098,2023-01-05 02:00:00,Branch B,Burger,Food,7,10.61,Mobile Money,74.27,2,1,1.114231519476921,0.07612888785221048
INV100099,2023-01-05 03:00:00,Branch D,Pasta,Food,5,7.91,Mobile Money,39.55,3,0,-0.3083336490229333,-0.01239549487782853
INV100100,2023-01-05 04:00:00,Branch C,Wrap,Food,8,8.51,Cash,68.08,4,1,0.9155215205696616,-0.571287663594602
INV100101,2023-01-05 05:00:00,Branch C,Fries,Food,3,7.32,Cash,21.96,5,0,-1.118013944979978,0.3218517941260397
INV100102,2023-01-05 06:00:00,Branch C,Pasta,Food,9,13.46,Card,121.14,6,1,2.8062255694466867,0.19368569607815778
INV100103,2023-01-05 07:00:00,Branch D,Hotdog,Food,4,8.3,Mobile Money,33.2,7,0,-0.5785836809309747,0.2922701065078281
INV100104,2023-01-05 08:00:00,Branch D,Juice,Food,3,9.11,Mobile Money,27.33,8,0,-0.7873663207077389,0.6813633158426188
INV100105,2023-01-05 09:00:00,Branch C,Pizza,Food,9,6.56,Cash,59.04,9,2,0.6763417108315647,-1.1882689198851348
INV100106,2023-01-05 10:00:00,Branch C,Chicken,Food,10,8.21,Card,82.1,10,1,1.5422076795683861,-1.0842023191494377
INV100107,2023-01-05 11:00:00,Branch C,Pizza,Food,7,4.14,Mobile Money,28.98,11,2,-0.6155811746084213,-1.220914127604152
INV100108,2023-01-05 12:00:00,Branch A,Juice,Food,6,4.85,Card,29.1,12,2,-0.7128848970639563,-0.8524936308342759
INV100109,2023-01-05 13:00:00,Branch D,Wrap,Food,4,3.74,Card,14.96,13,2,-1.5151130882403523,-0.6231540015777657
INV100110,2023-01-05 14:00:00,Branch D,Pasta,Food,3,8.07,Mobile Money,24.21,14,0,-0.9794744376033414,0.47248511328103104
INV100111,2023-01-05 15:00:00,Branch C,Chicken,Food,8,9.81,Card,78.48,15,1,1.2899461000194896,-0.31079782057877847
INV100112,2023-01-05 16:00:00,Branch D,Fries,Food,1,6.45,Cash,6.45,16,0,-1.9190887115897546,0.5995895520181587
INV100113,2023-01-05 17:00:00,Branch D,Soda,Food,1,3.34,Card,3.34,17,0,-2.365061211104164,-0.02561833469703975
INV100114,2023-01-05 18:00:00,Branch A,Hotdog,Food,8,6.06,Mobile Money,48.48,18,2,0.20987519776037103,-1.0622108292782697
INV100115,2023-01-05 19:00:00,Branch B,Fries,Food,1,3.93,Mobile Money,3.93,19,0,-2.280455495762202,0.09299023545150271
INV100116,2023-01-05 20:00:00,Branch C,Pasta,Food,5,10.75,Card,53.75,20,0,0.33361759039448047,0.5574714536776775
INV100117,2023-01-05 21:00:00,Branch C,Juice,Food,5,13.39,Cash,66.95,21,1,0.9303609960501046,1.0872069269827958
INV100118,2023-01-05 22:00:00,Branch C,Juice,Food,9,4.23,Card,38.07,22,2,-0.04287993997615011,-1.6549289568698404
INV100119,2023-01-05 23:00:00,Branch B,Burger,Food,5,8.5,Cash,42.5,23,0,-0.17497053942565363,0.1059923571108153
INV100120,2023-01-06 00:00:00,Branch A,Salad,Food,1,8.45,Mobile Money,8.45,0,0,-1.632289676532257,1.0016525016742346
INV100121,2023-01-06 01:00:00,Branch A,Burger,Food,3,4.35,Cash,13.05,1,0,-1.6666303941914586,-0.2746561497277259
INV100122,2023-01-06 02:00:00,Branch A,Salad,Food,3,6.03,Card,18.09,2,0,-1.3563018976677927,0.06276248517945468
INV100123,2023-01-06 03:00:00,Branch B,Burger,Food,9,4.63,Cash,41.67,3,2,0.08059158805950911,-1.5748156457995048
INV100124,2023-01-06 04:00:00,Branch C,Pasta,Food,2,9.35,Cash,18.7,4,0,-1.123131894551799,0.9560734034958426
INV100125,2023-01-06 05:00:00,Branch D,Juice,Food,4,10.19,Mobile Money,40.76,5,0,-0.19041688711195653,0.6716893092011991
INV100126,2023-01-06 06:00:00,Branch C,Pizza,Food,5,14.46,Cash,72.3,6,1,1.1722229066756793,1.3019103195723702
INV100127,2023-01-06 07:00:00,Branch A,Hotdog,Food,8,6.17,Mobile Money,49.36,7,2,0.24155727755997192,-1.0401693810230845
INV100128,2023-01-06 08:00:00,Branch D,Pizza,Food,1,14.12,Cash,14.12,8,0,-0.8192144121442507,2.1415009639492104
INV100129,2023-01-06 09:00:00,Branch A,Burger,Food,4,9.58,Mobile Money,38.32,9,0,-0.3156982332651846,0.5492312596546614
INV100130,2023-01-06 10:00:00,Branch C,Pasta,Food,10,14.01,Cash,140.1,10,1,3.4523723304417344,0.07689824843508695
INV100131,2023-01-06 11:00:00,Branch A,Fries,Food,9,3.34,Cash,30.06,11,2,-0.31760408985549193,-1.8331810740013377
INV100132,2023-01-06 12:00:00,Branch A,Salad,Food,1,10.39,Mobile Money,10.39,12,0,-1.354094612526484,1.3916535628406286
INV100133,2023-01-06 13:00:00,Branch C,Fries,Food,2,11.88,Mobile Money,23.76,13,0,-0.7080615357693378,1.4644464174613963
INV100134,2023-01-06 14:00:00,Branch C,Juice,Food,10,12.46,Card,124.6,14,1,2.9418972944324775,-0.23339586876422544
INV100135,2023-01-06 15:00:00,Branch C,Pizza,Food,8,11.54,Cash,92.32,15,1,1.7882188095950287,0.035854047434586395
INV100136,2023-01-06 16:00:00,Branch B,Burger,Food,9,5.94,Cash,53.46,16,2,0.4849608423762931,-1.312444552044155
INV100137,2023-01-06 17:00:00,Branch B,Fries,Food,7,6.47,Cash,45.29,17,2,0.007365282457861148,-0.7538182657782903
INV100138,2023-01-06 18:00:00,Branch A,Burger,Food,7,9.04,Cash,63.28,18,1,0.6944778981919152,-0.23860952548109549
INV100139,2023-01-06 19:00:00,Branch D,Soda,Food,5,10.42,Card,52.1,19,0,0.2590246646875275,0.49125451951453764
INV100140,2023-01-06 20:00:00,Branch A,Fries,Food,7,5.98,Cash,41.86,20,2,-0.12364062482217235,-0.8520487259905957
INV100141,2023-01-06 21:00:00,Branch D,Pizza,Food,9,10.04,Card,90.36,21,1,1.7505440047418,-0.4912831135732136
INV100142,2023-01-06 22:00:00,Branch A,Pasta,Food,1,8.87,Card,8.87,22,0,-1.5720618791701826,1.0860857211020103
INV100143,2023-01-06 23:00:00,Branch C,Pizza,Food,5,8.12,Mobile Money,40.6,23,0,-0.26086542357305414,0.02974255413507842
INV100144,2023-01-07 00:00:00,Branch C,Wrap,Food,3,11.22,Mobile Money,33.66,0,0,-0.3976085066214681,1.1051450537319945
INV100145,2023-01-07 01:00:00,Branch C,Pasta,Food,2,10.54,Mobile Money,21.08,1,0,-0.9279011724367285,1.1951895642148183
INV100146,2023-01-07 02:00:00,Branch C,Fries,Food,3,6.06,Card,18.18,2,0,-1.3507603173727274,0.06878781794565424
INV100147,2023-01-07 03:00:00,Branch A,Hotdog,Food,3,12.92,Cash,38.76,3,0,-0.08358562323442546,1.4465805771499745
INV100148,2023-01-07 04:00:00,Branch D,Soda,Food,8,5.43,Mobile Money,43.44,4,2,0.02842328618083918,-1.1884482147397843
INV100149,2023-01-07 05:00:00,Branch C,Juice,Food,1,14.67,Mobile Money,14.67,5,0,-0.7403446775034386,2.2520682751046315
INV100150,2023-01-07 06:00:00,Branch A,Juice,Food,9,10.1,Mobile Money,90.9,6,1,1.769064733947149,-0.47926611691266313
INV100151,2023-01-07 07:00:00,Branch C,Hotdog,Food,1,14.45,Mobile Money,14.45,7,0,-0.7718925713597635,2.207841350642463
INV100152,2023-01-07 08:00:00,Branch B,Salad,Food,1,8.52,Card,8.52,8,0,-1.6222517103052445,1.0157247049121974
INV100153,2023-01-07 09:00:00,Branch B,Pasta,Food,6,12.6,Cash,75.6,9,1,1.199032985560781,0.701876219127057
INV100154,2023-01-07 10:00:00,Branch C,Fries,Food,8,10.97,Cash,87.76,10,1,1.6240480324516435,-0.07836072988773587
INV100155,2023-01-07 11:00:00,Branch C,Hotdog,Food,10,3.77,Cash,37.7,11,2,0.07994370545154711,-1.973044822610695
INV100156,2023-01-07 12:00:00,Branch D,Hotdog,Food,2,13.37,Cash,26.74,12,0,-0.463612984549628,1.7638439632355756
INV100157,2023-01-07 13:00:00,Branch C,Hotdog,Food,6,10.45,Mobile Money,62.7,13,1,0.6686299600584346,0.27066393817004186
INV100158,2023-01-07 14:00:00,Branch A,Chicken,Food,8,5.7,Mobile Money,45.6,14,2,0.10618839114349589,-1.1343464781134207
INV100159,2023-01-07 15:00:00,Branch A,Salad,Food,6,4.64,Mobile Money,27.84,15,2,-0.7646917042060459,-0.8946120396719379
INV100160,2023-01-07 16:00:00,Branch B,Burger,Food,1,4.51,Card,4.51,16,0,-2.1972837755955275,0.20958849085176476
INV100161,2023-01-07 17:00:00,Branch C,Hotdog,Food,7,8.43,Mobile Money,59.01,17,2,0.5313889115779957,-0.3608964249290677
INV100162,2023-01-07 18:00:00,Branch A,Chicken,Food,7,10.42,Mobile Money,72.94,18,1,1.0634333105316018,0.0380395257290716
INV100163,2023-01-07 19:00:00,Branch D,Fries,Food,1,11.65,Card,11.65,19,0,-1.1734112204402602,1.6449532211239566
INV100164,2023-01-07 20:00:00,Branch C,Fries,Food,10,3.07,Mobile Money,30.7,20,2,-0.15059340758489137,-2.1131776497329646
INV100165,2023-01-07 21:00:00,Branch A,Pizza,Food,2,9.34,Mobile Money,18.68,21,0,-1.124772488855287,0.9540640239940025
INV100166,2023-01-07 22:00:00,Branch B,Pasta,Food,7,2.22,Cash,15.54,22,2,-1.1289104439505937,-1.6058171553748186
INV100167,2023-01-07 23:00:00,Branch B,Burger,Food,7,7.0,Card,49.0,23,2,0.14906554951585682,-0.647568992487429
INV100168,2023-01-08 00:00:00,Branch B,Chicken,Food,4,11.37,Cash,45.48,0,0,0.05193063495494374,0.908575372258436
INV100169,2023-01-08 01:00:00,Branch B,Salad,Food,10,13.17,Card,131.7,1,1,3.1757277947980076,-0.09126114411163735
INV100170,2023-01-08 02:00:00,Branch A,Wrap,Food,3,12.21,Mobile Money,36.63,2,0,-0.21473635688430776,1.303981035016583
INV100171,2023-01-08 03:00:00,Branch A,Juice,Food,9,7.36,Card,66.24,3,2,0.9232847669028832,-1.0280422977444632
INV100172,2023-01-08 04:00:00,Branch D,Pasta,Food,2,14.38,Card,28.76,4,0,-0.29791295989734096,1.9667912929214293
INV100173,2023-01-08 05:00:00,Branch A,Wrap,Food,4,14.64,Cash,58.56,5,1,0.7235208020386423,1.565030818188237
INV100174,2023-01-08 06:00:00,Branch A,Chicken,Food,4,10.26,Mobile Money,41.04,6,0,-0.17604033919273357,0.6857418722639166
INV100175,2023-01-08 07:00:00,Branch D,Juice,Food,5,2.21,Cash,11.05,7,2,-1.5967569112339397,-1.1561425395138794
INV100176,2023-01-08 08:00:00,Branch C,Chicken,Food,7,11.75,Cash,82.25,8,1,1.419020773148836,0.3046650605910441
INV100177,2023-01-08 09:00:00,Branch A,Chicken,Food,10,14.58,Cash,145.8,9,1,3.6400954081999775,0.19100640766322152
INV100178,2023-01-08 10:00:00,Branch C,Salad,Food,4,5.54,Cash,22.16,10,0,-1.1454304274603349,-0.26180237996503153
INV100179,2023-01-08 11:00:00,Branch A,Hotdog,Food,2,8.25,Card,16.5,11,0,-1.3035972679354777,0.7350416582934282
INV100180,2023-01-08 12:00:00,Branch A,Soda,Food,3,12.18,Mobile Money,36.54,12,0,-0.22027793717937338,1.2979557022503831
INV100181,2023-01-08 13:00:00,Branch C,Chicken,Food,9,9.87,Mobile Money,88.83,13,1,1.6980686053266447,-0.5253312707781062
INV100182,2023-01-08 14:00:00,Branch D,Salad,Food,10,4.77,Mobile Money,47.7,14,2,0.4092824383607451,-1.77285506957888
INV100183,2023-01-08 15:00:00,Branch A,Hotdog,Food,2,10.72,Cash,21.44,15,0,-0.8983704749739445,1.2313583952479408
INV100184,2023-01-08 16:00:00,Branch B,Burger,Food,6,13.27,Mobile Money,79.62,16,1,1.3643213702522103,0.8362539997043592
INV100185,2023-01-08 17:00:00,Branch A,Pizza,Food,2,14.23,Mobile Money,28.46,17,0,-0.3225218744496608,1.936650600393827
INV100186,2023-01-08 18:00:00,Branch A,Pasta,Food,5,11.97,Mobile Money,59.85,18,1,0.6093853763413977,0.8022734527050428
INV100187,2023-01-08 19:00:00,Branch B,Pizza,Food,6,12.31,Cash,73.86,19,1,1.1274902518883716,0.6437127021607623
INV100188,2023-01-08 20:00:00,Branch C,Wrap,Food,10,11.62,Card,116.2,20,1,2.665252758788751,-0.40155526131095015
INV100189,2023-01-08 21:00:00,Branch B,Pasta,Food,4,6.95,Mobile Money,27.8,21,0,-0.8558456765159879,0.021256390298277195
INV100190,2023-01-08 22:00:00,Branch A,Burger,Food,5,13.76,Card,68.8,22,1,1.0139954885094151,1.1614501561960129
INV100191,2023-01-08 23:00:00,Branch C,Chicken,Food,4,13.24,Mobile Money,52.96,23,0,0.43598984365418425,1.283979556933888
INV100192,2023-01-09 00:00:00,Branch A,Wrap,Food,4,11.2,Mobile Money,44.8,0,0,0.017016161436830986,0.8744477191061223
INV100193,2023-01-09 01:00:00,Branch A,Wrap,Food,1,8.02,Card,8.02,1,0,-1.693951469069619,0.9152089674981783
INV100194,2023-01-09 02:00:00,Branch A,Juice,Food,8,9.57,Card,76.56,2,1,1.220821562274906,-0.35888825313554595
INV100195,2023-01-09 03:00:00,Branch A,Salad,Food,10,7.22,Cash,72.2,3,2,1.21616233398828,-1.2823901746509345
INV100196,2023-01-09 04:00:00,Branch C,Soda,Food,2,14.0,Cash,28.0,4,0,-0.36025554342988464,1.8904348718515043
INV100197,2023-01-09 05:00:00,Branch B,Wrap,Food,3,12.06,Card,36.18,5,0,-0.24244425835963515,1.2738543711855845
INV100198,2023-01-09 06:00:00,Branch B,Chicken,Food,9,7.59,Cash,68.31,6,2,0.9942808955233874,-0.9819771438790199
INV100199,2023-01-09 07:00:00,Branch C,Salad,Food,5,10.4,Mobile Money,52.0,7,0,0.2545038813113485,0.48724137198949896
INV100200,2023-01-09 08:00:00,Branch D,Hotdog,Food,4,4.28,Mobile Money,17.12,8,0,-1.404208290006347,-0.5147485150939456
INV100201,2023-01-09 09:00:00,Branch D,Wrap,Food,2,11.25,Card,22.5,9,0,-0.8114189768890813,1.3378555088454678
INV100202,2023-01-09 10:00:00,Branch C,Wrap,Food,8,14.94,Cash,119.52,10,1,2.767483094309963,0.717135175322125
INV100203,2023-01-09 11:00:00,Branch D,Hotdog,Food,9,6.76,Cash,60.84,11,2,0.7380774748493945,-1.148212264349967
