InvoiceID,Date,Store,Product,Category,Quantity,UnitPrice,PaymentMethod,Total
INV100030,2023-01-02 06:00,Branch A,Chicken,Food,10,7.62,Cash,76.2
INV100031,2023-01-02 07:00,Branch A,Chicken,Food,9,13.01,Cash,117.09
INV100032,2023-01-02 08:00,Branch D,Soda,Food,5,12.73,Cash,63.65
INV100033,2023-01-02 09:00,Branch C,Juice,Food,6,12.89,Mobile Money,77.34
INV100034,2023-01-02 10:00,Branch B,Pasta,Food,8,10.42,Mobile Money,83.36
INV100035,2023-01-02 11:00,Branch A,Wrap,Food,9,9.54,Cash,85.86
INV100036,2023-01-02 12:00,Branch B,Salad,Food,2,12.56,Mobile Money,25.12
INV100037,2023-01-02 13:00,Branch D,Fries,Food,3,6.39,Cash,19.17
INV100038,2023-01-02 14:00,Branch A,Pizza,Food,1,7.22,Card,7.22
INV100039,2023-01-02 15:00,Branch C,Soda,Food,1,8.85,Cash,8.85
INV100040,2023-01-02 16:00,Branch C,Pizza,Food,7,8.66,Cash,60.62
INV100041,2023-01-02 17:00,Branch C,Pizza,Food,5,11.68,Cash,58.4
INV100042,2023-01-02 18:00,Branch A,Salad,Food,5,12.04,Mobile Money,60.2
INV100043,2023-01-02 19:00,Branch A,Fries,Food,7,10.64,Cash,74.48
INV100044,2023-01-02 20:00,Branch B,Burger,Food,8,8.26,Card,66.08
INV100045,2023-01-02 21:00,Branch A,Fries,Food,6,2.59,Cash,15.54
INV100046,2023-01-02 22:00,Branch B,Burger,Food,8,8.07,Card,64.56
INV100047,2023-01-02 23:00,Branch D,Pasta,Food,5,4.8,Mobile Money,24.0
INV100048,2023-01-03 00:00,Branch A,Fries,Food,8,14.84,Cash,118.72
INV100049,2023-01-03 01:00,Branch A,Hotdog,Food,10,8.57,Mobile Money,85.7
INV100050,2023-01-03 02:00,Branch B,Juice,Food,9,13.03,Mobile Money,117.27
INV100051,2023-01-03 03:00,Branch A,Juice,Food,5,9.2,Mobile Money,46.0
INV100052,2023-01-03 04:00,Branch C,Salad,Food,2,4.9,Mobile Money,9.8
INV100053,2023-01-03 05:00,Branch B,Fries,Food,3,11.44,Mobile Money,34.32
INV100054,2023-01-03 06:00,Branch C,Burger,Food,4,14.16,Cash,56.64
INV100055,2023-01-03 07:00,Branch C,Fries,Food,5,13.15,Card,65.75
INV100056,2023-01-03 08:00,Branch D,Chicken,Food,6,11.49,Mobile Money,68.94
INV100057,2023-01-03 09:00,Branch B,Wrap,Food,10,11.69,Card,116.9
INV100058,2023-01-03 10:00,Branch A,Fries,Food,4,10.23,Mobile Money,40.92
INV100059,2023-01-03 11:00,Branch C,Salad,Food,3,2.84,Cash,8.52
INV100060,2023-01-03 12:00,Branch C,Soda,Food,2,14.17,Cash,28.34
INV100061,2023-01-03 13:00,Branch B,Wrap,Food,5,12.61,Card,63.05
INV100062,2023-01-03 14:00,Branch B,Wrap,Food,2,14.51,Card,29.02
INV100063,2023-01-03 15:00,Branch B,Chicken,Food,1,12.91,Mobile Money,12.91
INV100064,2023-01-03 16:00,Branch C,Soda,Food,3,12.24,Mobile Money,36.72
INV100065,2023-01-03 17:00,Branch B,Salad,Food,4,9.51,Card,38.04
INV100066,2023-01-03 18:00,Branch A,Wrap,Food,4,6.86,Cash,27.44
INV100067,2023-01-03 19:00,Branch C,Juice,Food,10,8.55,Cash,85.5
INV100068,2023-01-03 20:00,Branch C,Pasta,Food,1,4.38,Card,4.38
INV100069,2023-01-03 21:00,Branch C,Pizza,Food,1,12.23,Card,12.23
INV100070,2023-01-03 22:00,Branch C,Chicken,Food,10,9.33,Cash,93.3
INV100071,2023-01-03 23:00,Branch D,Fries,Food,8,3.09,Cash,24.72
INV100072,2023-01-04 00:00,Branch C,Chicken,Food,9,3.22,Card,28.98
INV100073,2023-01-04 01:00,Branch B,Hotdog,Food,4,12.57,Cash,50.28
INV100074,2023-01-04 02:00,Branch C,Salad,Food,3,13.82,Cash,41.46
INV100075,2023-01-04 03:00,Branch B,Pasta,Food,1,5.12,Card,5.12
INV100076,2023-01-04 04:00,Branch C,Pasta,Food,10,2.7,Cash,27.0
INV100077,2023-01-04 05:00,Branch B,Salad,Food,1,5.42,Cash,5.42
INV100078,2023-01-04 06:00,Branch C,Pasta,Food,6,2.83,Cash,16.98
INV100079,2023-01-04 07:00,Branch C,Pasta,Food,10,10.23,Card,102.3
INV100080,2023-01-04 08:00,Branch A,Soda,Food,5,13.04,Cash,65.2
INV100081,2023-01-04 09:00,Branch A,Burger,Food,1,14.43,Cash,14.43
INV100082,2023-01-04 10:00,Branch A,Fries,Food,1,7.64,Card,7.64
INV100083,2023-01-04 11:00,Branch B,Fries,Food,1,11.12,Mobile Money,11.12
INV100084,2023-01-04 12:00,Branch B,Wrap,Food,5,6.29,Card,31.45
INV100085,2023-01-04 13:00,Branch D,Chicken,Food,6,6.42,Mobile Money,38.52
INV100086,2023-01-04 14:00,Branch D,Burger,Food,7,14.3,Mobile Money,100.1
INV100087,2023-01-04 15:00,Branch D,Wrap,Food,9,3.76,Card,33.84
INV100088,2023-01-04 16:00,Branch D,Burger,Food,2,7.23,Mobile Money,14.46
INV100089,2023-01-04 17:00,Branch C,Pizza,Food,3,5.45,Mobile Money,16.35
INV100090,2023-01-04 18:00,Branch A,Pasta,Food,8,3.92,Cash,31.36
INV100091,2023-01-04 19:00,Branch C,Fries,Food,4,12.74,Card,50.96
INV100092,2023-01-04 20:00,Branch C,Juice,Food,2,5.37,Mobile Money,10.74
INV100093,2023-01-04 21:00,Branch C,Juice,Food,2,8.22,Cash,16.44
INV100094,2023-01-04 22:00,Branch D,Pasta,Food,1,14.07,Mobile Money,14.07
INV100095,2023-01-04 23:00,Branch D,Fries,Food,2,7.48,Card,14.96
INV100096,2023-01-05 00:00,Branch B,Burger,Food,4,7.36,Card,29.44
INV100097,2023-01-05 01:00,Branch B,Salad,Food,5,2.71,Card,13.55
INV100098,2023-01-05 02:00,Branch B,Burger,Food,7,10.61,Mobile Money,74.27
INV100099,2023-01-05 03:00,Branch D,Pasta,Food,5,7.91,Mobile Money,39.55
INV100100,2023-01-05 04:00,Branch C,Wrap,Food,8,8.51,Cash,68.08
INV100101,2023-01-05 05:00,Branch C,Fries,Food,3,7.32,Cash,21.96
INV100102,2023-01-05 06:00,Branch C,Pasta,Food,9,13.46,Card,121.14
INV100103,2023-01-05 07:00,Branch D,Hotdog,Food,4,8.3,Mobile Money,33.2
INV100104,2023-01-05 08:00,Branch D,Juice,Food,3,9.11,Mobile Money,27.33
INV100105,2023-01-05 09:00,Branch C,Pizza,Food,9,6.56,Cash,59.04
INV100106,2023-01-05 10:00,Branch C,Chicken,Food,10,8.21,Card,82.1
INV100107,2023-01-05 11:00,Branch C,Pizza,Food,7,4.14,Mobile Money,28.98
INV100108,2023-01-05 12:00,Branch A,Juice,Food,6,4.85,Card,29.1
INV100109,2023-01-05 13:00,Branch D,Wrap,Food,4,3.74,Card,14.96
INV100110,2023-01-05 14:00,Branch D,Pasta,Food,3,8.07,Mobile Money,24.21
INV100111,2023-01-05 15:00,Branch C,Chicken,Food,8,9.81,Card,78.48
INV100112,2023-01-05 16:00,Branch D,Fries,Food,1,6.45,Cash,6.45
INV100113,2023-01-05 17:00,Branch D,Soda,Food,1,3.34,Card,3.34
INV100114,2023-01-05 18:00,Branch A,Hotdog,Food,8,6.06,Mobile Money,48.48
INV100115,2023-01-05 19:00,Branch B,Fries,Food,1,3.93,Mobile Money,3.93
INV100116,2023-01-05 20:00,Branch C,Pasta,Food,5,10.75,Card,53.75
INV100117,2023-01-05 21:00,Branch C,Juice,Food,5,13.39,Cash,66.95
INV100118,2023-01-05 22:00,Branch C,Juice,Food,9,4.23,Card,38.07
INV100119,2023-01-05 23:00,Branch B,Burger,Food,5,8.5,Cash,42.5
INV100120,2023-01-06 00:00,Branch A,Salad,Food,1,8.45,Mobile Money,8.45
INV100121,2023-01-06 01:00,Branch A,Burger,Food,3,4.35,Cash,13.05
INV100122,2023-01-06 02:00,Branch A,Salad,Food,3,6.03,Card,18.09
INV100123,2023-01-06 03:00,Branch B,Burger,Food,9,4.63,Cash,41.67
INV100124,2023-01-06 04:00,Branch C,Pasta,Food,2,9.35,Cash,18.7
INV100125,2023-01-06 05:00,Branch D,Juice,Food,4,10.19,Mobile Money,40.76
INV100126,2023-01-06 06:00,Branch C,Pizza,Food,5,14.46,Cash,72.3
INV100127,2023-01-06 07:00,Branch A,Hotdog,Food,8,6.17,Mobile Money,49.36
INV100128,2023-01-06 08:00,Branch D,Pizza,Food,1,14.12,Cash,14.12
INV100129,2023-01-06 09:00,Branch A,Burger,Food,4,9.58,Mobile Money,38.32
INV100130,2023-01-06 10:00,Branch C,Pasta,Food,10,14.01,Cash,140.1
INV100131,2023-01-06 11:00,Branch A,Fries,Food,9,3.34,Cash,30.06
INV100132,2023-01-06 12:00,Branch A,Salad,Food,1,10.39,Mobile Money,10.39
INV100133,2023-01-06 13:00,Branch C,Fries,Food,2,11.88,Mobile Money,23.76
INV100134,2023-01-06 14:00,Branch C,Juice,Food,10,12.46,Card,124.6
INV100135,2023-01-06 15:00,Branch C,Pizza,Food,8,11.54,Cash,92.32
INV100136,2023-01-06 16:00,Branch B,Burger,Food,9,5.94,Cash,53.46
INV100137,2023-01-06 17:00,Branch B,Fries,Food,7,6.47,Cash,45.29
INV100138,2023-01-06 18:00,Branch A,Burger,Food,7,9.04,Cash,63.28
INV100139,2023-01-06 19:00,Branch D,Soda,Food,5,10.42,Card,52.1
INV100140,2023-01-06 20:00,Branch A,Fries,Food,7,5.98,Cash,41.86
INV100141,2023-01-06 21:00,Branch D,Pizza,Food,9,10.04,Card,90.36
INV100142,2023-01-06 22:00,Branch A,Pasta,Food,1,8.87,Card,8.87
INV100143,2023-01-06 23:00,Branch C,Pizza,Food,5,8.12,Mobile Money,40.6
INV100144,2023-01-07 00:00,Branch C,Wrap,Food,3,11.22,Mobile Money,33.66
INV100145,2023-01-07 01:00,Branch C,Pasta,Food,2,10.54,Mobile Money,21.08
INV100146,2023-01-07 02:00,Branch C,Fries,Food,3,6.06,Card,18.18
INV100147,2023-01-07 03:00,Branch A,Hotdog,Food,3,12.92,Cash,38.76
INV100148,2023-01-07 04:00,Branch D,Soda,Food,8,5.43,Mobile Money,43.44
INV100149,2023-01-07 05:00,Branch C,Juice,Food,1,14.67,Mobile Money,14.67
INV100150,2023-01-07 06:00,Branch A,Juice,Food,9,10.1,Mobile Money,90.9
INV100151,2023-01-07 07:00,Branch C,Hotdog,Food,1,14.45,Mobile Money,14.45
INV100152,2023-01-07 08:00,Branch B,Salad,Food,1,8.52,Card,8.52
INV100153,2023-01-07 09:00,Branch B,Pasta,Food,6,12.6,Cash,75.6
INV100154,2023-01-07 10:00,Branch C,Fries,Food,8,10.97,Cash,87.76
INV100155,2023-01-07 11:00,Branch C,Hotdog,Food,10,3.77,Cash,37.7
INV100156,2023-01-07 12:00,Branch D,Hotdog,Food,2,13.37,Cash,26.74
INV100157,2023-01-07 13:00,Branch C,Hotdog,Food,6,10.45,Mobile Money,62.7
INV100158,2023-01-07 14:00,Branch A,Chicken,Food,8,5.7,Mobile Money,45.6
INV100159,2023-01-07 15:00,Branch A,Salad,Food,6,4.64,Mobile Money,27.84
INV100160,2023-01-07 16:00,Branch B,Burger,Food,1,4.51,Card,4.51
INV100161,2023-01-07 17:00,Branch C,Hotdog,Food,7,8.43,Mobile Money,59.01
INV100162,2023-01-07 18:00,Branch A,Chicken,Food,7,10.42,Mobile Money,72.94
INV100163,2023-01-07 19:00,Branch D,Fries,Food,1,11.65,Card,11.65
INV100164,2023-01-07 20:00,Branch C,Fries,Food,10,3.07,Mobile Money,30.7
INV100165,2023-01-07 21:00,Branch A,Pizza,Food,2,9.34,Mobile Money,18.68
INV100166,2023-01-07 22:00,Branch B,Pasta,Food,7,2.22,Cash,15.54
INV100167,2023-01-07 23:00,Branch B,Burger,Food,7,7.0,Card,49.0
INV100168,2023-01-08 00:00,Branch B,Chicken,Food,4,11.37,Cash,45.48
INV100169,2023-01-08 01:00,Branch B,Salad,Food,10,13.17,Card,131.7
INV100170,2023-01-08 02:00,Branch A,Wrap,Food,3,12.21,Mobile Money,36.63
INV100171,2023-01-08 03:00,Branch A,Juice,Food,9,7.36,Card,66.24
INV100172,2023-01-08 04:00,Branch D,Pasta,Food,2,14.38,Card,28.76
INV100173,2023-01-08 05:00,Branch A,Wrap,Food,4,14.64,Cash,58.56
INV100174,2023-01-08 06:00,Branch A,Chicken,Food,4,10.26,Mobile Money,41.04
INV100175,2023-01-08 07:00,Branch D,Juice,Food,5,2.21,Cash,11.05
INV100176,2023-01-08 08:00,Branch C,Chicken,Food,7,11.75,Cash,82.25
INV100177,2023-01-08 09:00,Branch A,Chicken,Food,10,14.58,Cash,145.8
INV100178,2023-01-08 10:00,Branch C,Salad,Food,4,5.54,Cash,22.16
INV100179,2023-01-08 11:00,Branch A,Hotdog,Food,2,8.25,Card,16.5
INV100180,2023-01-08 12:00,Branch A,Soda,Food,3,12.18,Mobile Money,36.54
INV100181,2023-01-08 13:00,Branch C,Chicken,Food,9,9.87,Mobile Money,88.83
INV100182,2023-01-08 14:00,Branch D,Salad,Food,10,4.77,Mobile Money,47.7
INV100183,2023-01-08 15:00,Branch A,Hotdog,Food,2,10.72,Cash,21.44
INV100184,2023-01-08 16:00,Branch B,Burger,Food,6,13.27,Mobile Money,79.62
INV100185,2023-01-08 17:00,Branch A,Pizza,Food,2,14.23,Mobile Money,28.46
INV100186,2023-01-08 18:00,Branch A,Pasta,Food,5,11.97,Mobile Money,59.85
INV100187,2023-01-08 19:00,Branch B,Pizza,Food,6,12.31,Cash,73.86
INV100188,2023-01-08 20:00,Branch C,Wrap,Food,10,11.62,Card,116.2
INV100189,2023-01-08 21:00,Branch B,Pasta,Food,4,6.95,Mobile Money,27.8
INV100190,2023-01-08 22:00,Branch A,Burger,Food,5,13.76,Card,68.8
INV100191,2023-01-08 23:00,Branch C,Chicken,Food,4,13.24,Mobile Money,52.96
INV100192,2023-01-09 00:00,Branch A,Wrap,Food,4,11.2,Mobile Money,44.8
INV100193,2023-01-09 01:00,Branch A,Wrap,Food,1,8.02,Card,8.02
INV100194,2023-01-09 02:00,Branch A,Juice,Food,8,9.57,Card,76.56
INV100195,2023-01-09 03:00,Branch A,Salad,Food,10,7.22,Cash,72.2
INV100196,2023-01-09 04:00,Branch C,Soda,Food,2,14.0,Cash,28.0
INV100197,2023-01-09 05:00,Branch B,Wrap,Food,3,12.06,Card,36.18
INV100198,2023-01-09 06:00,Branch B,Chicken,Food,9,7.59,Cash,68.31
INV100199,2023-01-09 07:00,Branch C,Salad,Food,5,10.4,Mobile Money,52.0
INV100200,2023-01-09 08:00,Branch D,Hotdog,Food,4,4.28,Mobile Money,17.12
INV100201,2023-01-09 09:00,Branch D,Wrap,Food,2,11.25,Card,22.5
INV100202,2023-01-09 10:00,Branch C,Wrap,Food,8,14.94,Cash,119.52
INV100203,2023-01-09 11:00,Branch D,Hotdog,Food,9,6.76,Cash,60.84
INV100204,2023-01-09 12:00,Branch C,Pasta,Food,3,2.4,Mobile Money,7.2
INV100205,2023-01-09 13:00,Branch B,Burger,Food,10,2.11,Mobile Money,21.1
INV100206,2023-01-09 14:00,Branch D,Chicken,Food,9,4.35,Card,39.15
INV100207,2023-01-09 15:00,Branch C,Wrap,Food,5,9.2,Mobile Money,46.0
INV100208,2023-01-09 16:00,Branch A,Wrap,Food,7,10.12,Mobile Money,70.84
INV100209,2023-01-09 17:00,Branch A,Hotdog,Food,5,7.59,Cash,37.95
INV100210,2023-01-09 18:00,Branch A,Hotdog,Food,6,2.42,Mobile Money,14.52
INV100211,2023-01-09 19:00,Branch A,Hotdog,Food,2,12.5,Mobile Money,25.0
INV100212,2023-01-09 20:00,Branch D,Fries,Food,10,5.61,Cash,56.1
INV100213,2023-01-09 21:00,Branch C,Wrap,Food,1,2.62,Card,2.62
INV100214,2023-01-09 22:00,Branch A,Juice,Food,3,6.96,Card,20.88
INV100215,2023-01-09 23:00,Branch C,Salad,Food,4,6.36,Cash,25.44
INV100216,2023-01-10 00:00,Branch D,Chicken,Food,4,14.42,Mobile Money,57.68
INV100217,2023-01-10 01:00,Branch A,Chicken,Food,3,5.55,Card,16.65
INV100218,2023-01-10 02:00,Branch B,Pasta,Food,4,14.67,Card,58.68
INV100219,2023-01-10 03:00,Branch D,Salad,Food,4,13.06,Cash,52.24
INV100220,2023-01-10 04:00,Branch A,Fries,Food,2,4.89,Cash,9.78
INV100221,2023-01-10 05:00,Branch C,Juice,Food,9,10.77,Card,96.93
INV100222,2023-01-10 06:00,Branch B,Fries,Food,1,2.98,Cash,2.98
INV100223,2023-01-10 07:00,Branch C,Juice,Food,3,3.27,Card,9.81
INV100224,2023-01-10 08:00,Branch B,Wrap,Food,5,10.62,Cash,53.1
INV100225,2023-01-10 09:00,Branch C,Fries,Food,9,7.6,Card,68.4
INV100226,2023-01-10 10:00,Branch D,Burger,Food,2,9.3,Cash,18.6
INV100227,2023-01-10 11:00,Branch A,Hotdog,Food,8,10.19,Cash,81.52
INV100228,2023-01-10 12:00,Branch B,Chicken,Food,7,7.91,Card,55.37
INV100229,2023-01-10 13:00,Branch A,Soda,Food,7,10.41,Card,72.87
INV100230,2023-01-10 14:00,Branch A,Pasta,Food,7,8.62,Card,60.34
INV100231,2023-01-10 15:00,Branch A,Salad,Food,5,9.52,Card,47.6
INV100232,2023-01-10 16:00,Branch D,Fries,Food,1,7.48,Mobile Money,7.48
INV100233,2023-01-10 17:00,Branch B,Soda,Food,7,7.73,Mobile Money,54.11
INV100234,2023-01-10 18:00,Branch D,Fries,Food,4,4.33,Cash,17.32
INV100235,2023-01-10 19:00,Branch A,Pasta,Food,7,7.1,Mobile Money,49.7
INV100236,2023-01-10 20:00,Branch A,Juice,Food,4,10.69,Mobile Money,42.76
INV100237,2023-01-10 21:00,Branch B,Burger,Food,8,7.51,Mobile Money,60.08
INV100238,2023-01-10 22:00,Branch D,Hotdog,Food,10,12.45,Mobile Money,124.5
INV100239,2023-01-10 23:00,Branch D,Burger,Food,4,9.53,Cash,38.12
INV100240,2023-01-11 00:00,Branch B,Chicken,Food,9,12.54,Mobile Money,112.86
INV100241,2023-01-11 01:00,Branch B,Juice,Food,6,2.35,Cash,14.1
INV100242,2023-01-11 02:00,Branch D,Hotdog,Food,3,11.12,Card,33.36
INV100243,2023-01-11 03:00,Branch A,Soda,Food,7,4.2,Cash,29.4
INV100244,2023-01-11 04:00,Branch A,Juice,Food,3,2.23,Cash,6.69
INV100245,2023-01-11 05:00,Branch B,Wrap,Food,2,13.69,Mobile Money,27.38
INV100246,2023-01-11 06:00,Branch B,Soda,Food,9,2.58,Card,23.22
INV100247,2023-01-11 07:00,Branch D,Burger,Food,9,5.02,Mobile Money,45.18
INV100248,2023-01-11 08:00,Branch B,Pizza,Food,9,11.4,Mobile Money,102.6
INV100249,2023-01-11 09:00,Branch A,Juice,Food,8,14.0,Card,112.0
INV100250,2023-01-11 10:00,Branch C,Soda,Food,2,14.67,Cash,29.34
INV100251,2023-01-11 11:00,Branch C,Salad,Food,6,5.6,Cash,33.6
INV100252,2023-01-11 12:00,Branch A,Fries,Food,10,6.09,Mobile Money,60.9
INV100253,2023-01-11 13:00,Branch A,Hotdog,Food,3,9.7,Cash,29.1
INV100254,2023-01-11 14:00,Branch A,Pasta,Food,5,9.99,Cash,49.95
INV100255,2023-01-11 15:00,Branch B,Hotdog,Food,7,10.59,Card,74.13
INV100256,2023-01-11 16:00,Branch C,Salad,Food,9,5.12,Card,46.08
INV100257,2023-01-11 17:00,Branch A,Juice,Food,4,10.68,Mobile Money,42.72
INV100258,2023-01-11 18:00,Branch D,Burger,Food,3,9.2,Cash,27.6
INV100259,2023-01-11 19:00,Branch B,Wrap,Food,9,7.84,Cash,70.56
INV100260,2023-01-11 20:00,Branch B,Pasta,Food,7,4.54,Cash,31.78
INV100261,2023-01-11 21:00,Branch B,Salad,Food,9,10.62,Card,95.58
INV100262,2023-01-11 22:00,Branch D,Pizza,Food,9,6.22,Mobile Money,55.98
INV100263,2023-01-11 23:00,Branch B,Fries,Food,6,8.54,Cash,51.24
INV100264,2023-01-12 00:00,Branch D,Salad,Food,8,13.49,Card,107.92
INV100265,2023-01-12 01:00,Branch A,Pasta,Food,3,11.93,Card,35.79
INV100266,2023-01-12 02:00,Branch B,Hotdog,Food,3,2.88,Card,8.64
INV100267,2023-01-12 03:00,Branch C,Pizza,Food,1,8.49,Mobile Money,8.49
INV100268,2023-01-12 04:00,Branch D,Hotdog,Food,2,10.17,Mobile Money,20.34
INV100269,2023-01-12 05:00,Branch C,Salad,Food,7,14.48,Mobile Money,101.36
INV100270,2023-01-12 06:00,Branch C,Soda,Food,9,4.32,Cash,38.88
INV100271,2023-01-12 07:00,Branch C,Chicken,Food,4,3.75,Mobile Money,15.0
INV100272,2023-01-12 08:00,Branch B,Wrap,Food,2,2.74,Cash,5.48
INV100273,2023-01-12 09:00,Branch A,Pizza,Food,8,3.82,Card,30.56
INV100274,2023-01-12 10:00,Branch A,Burger,Food,8,6.12,Mobile Money,48.96
INV100275,2023-01-12 11:00,Branch B,Hotdog,Food,5,13.43,Mobile Money,67.15
INV100276,2023-01-12 12:00,Branch D,Pasta,Food,6,12.95,Mobile Money,77.7
INV100277,2023-01-12 13:00,Branch D,Pizza,Food,1,3.03,Mobile Money,3.03
INV100278,2023-01-12 14:00,Branch A,Pasta,Food,6,11.46,Card,68.76
INV100279,2023-01-12 15:00,Branch A,Chicken,Food,4,4.99,Cash,19.96
INV100280,2023-01-12 16:00,Branch C,Hotdog,Food,3,13.19,Cash,39.57
INV100281,2023-01-12 17:00,Branch B,Burger,Food,6,5.55,Card,33.3
INV100282,2023-01-12 18:00,Branch D,Hotdog,Food,7,9.37,Card,65.59
INV100283,2023-01-12 19:00,Branch B,Pizza,Food,3,14.09,Mobile Money,42.27
INV100284,2023-01-12 20:00,Branch A,Burger,Food,2,6.02,Cash,12.04
INV100285,2023-01-12 21:00,Branch A,Hotdog,Food,3,6.04,Mobile Money,18.12
INV100286,2023-01-12 22:00,Branch B,Salad,Food,10,7.72,Cash,77.2
INV100287,2023-01-12 23:00,Branch A,Juice,Food,5,2.08,Cash,10.4
INV100288,2023-01-13 00:00,Branch B,Soda,Food,7,2.51,Cash,17.57
INV100289,2023-01-13 01:00,Branch C,Juice,Food,5,12.08,Card,60.4
INV100290,2023-01-13 02:00,Branch D,Salad,Food,2,11.48,Cash,22.96
INV100291,2023-01-13 03:00,Branch B,Fries,Food,10,9.43,Card,94.3
INV100292,2023-01-13 04:00,Branch A,Wrap,Food,6,9.24,Card,55.44
INV100293,2023-01-13 05:00,Branch B,Juice,Food,8,9.47,Cash,75.76
INV100294,2023-01-13 06:00,Branch D,Wrap,Food,7,11.74,Mobile Money,82.18
INV100295,2023-01-13 07:00,Branch A,Fries,Food,3,14.51,Card,43.53
INV100296,2023-01-13 08:00,Branch A,Hotdog,Food,3,5.09,Card,15.27
INV100297,2023-01-13 09:00,Branch D,Salad,Food,7,6.79,Mobile Money,47.53
INV100298,2023-01-13 10:00,Branch D,Salad,Food,7,13.69,Card,95.83
INV100299,2023-01-13 11:00,Branch C,Hotdog,Food,8,5.28,Card,42.24
INV100300,2023-01-13 12:00,Branch B,Burger,Food,1,14.41,Cash,14.41
INV100301,2023-01-13 13:00,Branch A,Pasta,Food,6,6.14,Cash,36.84
INV100302,2023-01-13 14:00,Branch D,Burger,Food,8,6.17,Card,49.36
INV100303,2023-01-13 15:00,Branch A,Juice,Food,2,5.3,Card,10.6
INV100304,2023-01-13 16:00,Branch A,Soda,Food,7,8.03,Cash,56.21
INV100305,2023-01-13 17:00,Branch B,Burger,Food,5,9.92,Mobile Money,49.6
INV100306,2023-01-13 18:00,Branch C,Hotdog,Food,2,13.39,Card,26.78
INV100307,2023-01-13 19:00,Branch C,Soda,Food,8,6.93,Mobile Money,55.44
INV100308,2023-01-13 20:00,Branch C,Salad,Food,10,13.83,Mobile Money,138.3
INV100309,2023-01-13 21:00,Branch B,Wrap,Food,9,2.43,Cash,21.87
INV100310,2023-01-13 22:00,Branch D,Chicken,Food,1,9.76,Mobile Money,9.76
INV100311,2023-01-13 23:00,Branch D,Chicken,Food,1,5.16,Mobile Money,5.16
INV100312,2023-01-14 00:00,Branch A,Pasta,Food,2,3.28,Cash,6.56
INV100313,2023-01-14 01:00,Branch B,Juice,Food,3,10.28,Card,30.84
INV100314,2023-01-14 02:00,Branch C,Burger,Food,4,9.78,Mobile Money,39.12
INV100315,2023-01-14 03:00,Branch D,Soda,Food,4,10.06,Cash,40.24
INV100316,2023-01-14 04:00,Branch D,Soda,Food,4,8.21,Card,32.84
INV100317,2023-01-14 05:00,Branch A,Wrap,Food,3,13.78,Card,41.34
INV100318,2023-01-14 06:00,Branch B,Juice,Food,7,5.16,Card,36.12
INV100319,2023-01-14 07:00,Branch B,Soda,Food,8,6.39,Card,51.12
INV100320,2023-01-14 08:00,Branch A,Fries,Food,6,9.29,Mobile Money,55.74
